date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:57:12	196211/196211	---MCZ	200	added ('OK')	text/html	etag:W/%225f60c930-2fe73%22	https://dreamingtheme.kiendaotac.com/html/lynessa/	C:/Users/Hi%20Windows%2010/Desktop/themecopy/dreamingtheme.kiendaotac.com/html/lynessa/index.html	(from )
17:57:12	245/245	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2019%20May%202024%2010:57:11%20GMT	https://dreamingtheme.kiendaotac.com/robots.txt		(from )
17:57:12	887/887	---M--	200	added ('OK')	image/png	etag:%22377-5ad8810871900%22	https://dreamingtheme.kiendaotac.com/html/lynessa/assets/images/favicon.png	C:/Users/Hi%20Windows%2010/Desktop/themecopy/dreamingtheme.kiendaotac.com/html/lynessa/assets/images/favicon.png	(from https://dreamingtheme.kiendaotac.com/html/lynessa/)
17:57:13	140936/140936	---MCZ	200	added ('OK')	text/css	etag:W/%225f5f76f6-22688%22	https://dreamingtheme.kiendaotac.com/html/lynessa/assets/css/bootstrap.min.css	C:/Users/Hi%20Windows%2010/Desktop/themecopy/dreamingtheme.kiendaotac.com/html/lynessa/assets/css/bootstrap.min.css	(from https://dreamingtheme.kiendaotac.com/html/lynessa/)
17:57:13	75599/75599	---MCZ	200	added ('OK')	text/css	etag:W/%225a6aa04a-1274f%22	https://dreamingtheme.kiendaotac.com/html/lynessa/assets/css/animate.css	C:/Users/Hi%20Windows%2010/Desktop/themecopy/dreamingtheme.kiendaotac.com/html/lynessa/assets/css/animate.css	(from https://dreamingtheme.kiendaotac.com/html/lynessa/)
17:57:13	9746/9746	---MCZ	200	added ('OK')	text/css	etag:W/%225d673278-2612%22	https://dreamingtheme.kiendaotac.com/html/lynessa/assets/css/chosen.min.css	C:/Users/Hi%20Windows%2010/Desktop/themecopy/dreamingtheme.kiendaotac.com/html/lynessa/assets/css/chosen.min.css	(from https://dreamingtheme.kiendaotac.com/html/lynessa/)
17:57:13	30758/30758	---MCZ	200	added ('OK')	text/css	etag:W/%225f5f76f8-7826%22	https://dreamingtheme.kiendaotac.com/html/lynessa/assets/css/font-awesome.min.css	C:/Users/Hi%20Windows%2010/Desktop/themecopy/dreamingtheme.kiendaotac.com/html/lynessa/assets/css/font-awesome.min.css	(from https://dreamingtheme.kiendaotac.com/html/lynessa/)
17:57:14	9742/9742	---MCZ	200	added ('OK')	text/css	etag:W/%225d84de08-260e%22	https://dreamingtheme.kiendaotac.com/html/lynessa/assets/css/pe-icon-7-stroke.css	C:/Users/Hi%20Windows%2010/Desktop/themecopy/dreamingtheme.kiendaotac.com/html/lynessa/assets/css/pe-icon-7-stroke.css	(from https://dreamingtheme.kiendaotac.com/html/lynessa/)
17:57:14	22618/22618	---MCZ	200	added ('OK')	text/css	etag:W/%225b7cb2fe-585a%22	https://dreamingtheme.kiendaotac.com/html/lynessa/assets/css/jquery.scrollbar.css	C:/Users/Hi%20Windows%2010/Desktop/themecopy/dreamingtheme.kiendaotac.com/html/lynessa/assets/css/jquery.scrollbar.css	(from https://dreamingtheme.kiendaotac.com/html/lynessa/)
17:57:14	790/790	---MCZ	200	added ('OK')	text/css	etag:W/%22316-539c796648b00%22	https://dreamingtheme.kiendaotac.com/html/lynessa/assets/css/lightbox.min.css	C:/Users/Hi%20Windows%2010/Desktop/themecopy/dreamingtheme.kiendaotac.com/html/lynessa/assets/css/lightbox.min.css	(from https://dreamingtheme.kiendaotac.com/html/lynessa/)
17:57:14	7700/7700	---MCZ	200	added ('OK')	text/css	etag:W/%225b7cb2fe-1e14%22	https://dreamingtheme.kiendaotac.com/html/lynessa/assets/css/magnific-popup.css	C:/Users/Hi%20Windows%2010/Desktop/themecopy/dreamingtheme.kiendaotac.com/html/lynessa/assets/css/magnific-popup.css	(from https://dreamingtheme.kiendaotac.com/html/lynessa/)
17:57:15	1330/1330	---MCZ	200	added ('OK')	text/css	etag:W/%225b7cb2fe-532%22	https://dreamingtheme.kiendaotac.com/html/lynessa/assets/css/slick.min.css	C:/Users/Hi%20Windows%2010/Desktop/themecopy/dreamingtheme.kiendaotac.com/html/lynessa/assets/css/slick.min.css	(from https://dreamingtheme.kiendaotac.com/html/lynessa/)
17:57:15	3876/3876	---MCZ	200	added ('OK')	text/css	etag:W/%225e57cbd6-f24%22	https://dreamingtheme.kiendaotac.com/html/lynessa/assets/fonts/flaticon.css	C:/Users/Hi%20Windows%2010/Desktop/themecopy/dreamingtheme.kiendaotac.com/html/lynessa/assets/fonts/flaticon.css	(from https://dreamingtheme.kiendaotac.com/html/lynessa/)
17:57:15	5701/5701	---MCZ	200	added ('OK')	text/css	etag:W/%225f4135fe-1645%22	https://dreamingtheme.kiendaotac.com/html/lynessa/assets/css/megamenu.css	C:/Users/Hi%20Windows%2010/Desktop/themecopy/dreamingtheme.kiendaotac.com/html/lynessa/assets/css/megamenu.css	(from https://dreamingtheme.kiendaotac.com/html/lynessa/)
17:57:15	2553/2553	---MCZ	200	added ('OK')	text/css	etag:W/%225f3a01a6-9f9%22	https://dreamingtheme.kiendaotac.com/html/lynessa/assets/css/dreaming-attribute.css	C:/Users/Hi%20Windows%2010/Desktop/themecopy/dreamingtheme.kiendaotac.com/html/lynessa/assets/css/dreaming-attribute.css	(from https://dreamingtheme.kiendaotac.com/html/lynessa/)
17:57:16	347765/347765	---MCZ	200	added ('OK')	text/css	etag:W/%225f5f8bac-54e75%22	https://dreamingtheme.kiendaotac.com/html/lynessa/assets/css/style.css	C:/Users/Hi%20Windows%2010/Desktop/themecopy/dreamingtheme.kiendaotac.com/html/lynessa/assets/css/style.css	(from https://dreamingtheme.kiendaotac.com/html/lynessa/)
17:57:16	196211/196211	---MCZ	200	added ('OK')	text/html	etag:W/%225f60c930-2fe73%22	https://dreamingtheme.kiendaotac.com/html/lynessa/index.html	C:/Users/Hi%20Windows%2010/Desktop/themecopy/dreamingtheme.kiendaotac.com/html/lynessa/index-2.html	(from https://dreamingtheme.kiendaotac.com/html/lynessa/)
17:57:16	3790/3790	---M--	200	added ('OK')	image/png	etag:%225f423232-ece%22	https://dreamingtheme.kiendaotac.com/html/lynessa/assets/images/logo.png	C:/Users/Hi%20Windows%2010/Desktop/themecopy/dreamingtheme.kiendaotac.com/html/lynessa/assets/images/logo.png	(from https://dreamingtheme.kiendaotac.com/html/lynessa/)
